,failureType
61162,Near-full
36403,Edge-Ring
59338,Near-full
91701,Scratch
76914,Random
77569,Random
88115,Scratch
15113,Edge-Loc
81121,Scratch
23013,Edge-Loc
3649,Center
17508,Edge-Loc
87282,Scratch
69813,Random
45918,Loc
37431,Edge-Ring
42810,Loc
9095,Center
37544,Edge-Ring
35493,Edge-Ring
47922,Loc
11819,Center
10513,Center
59667,Near-full
10889,Center
44513,Loc
19732,Edge-Loc
68094,Random
15056,Edge-Loc
20768,Edge-Loc
93483,Scratch
74895,Random
51510,Loc
71059,Random
35838,Edge-Ring
43186,Loc
65795,Near-full
79267,Random
58587,Near-full
17972,Edge-Loc
39334,Edge-Ring
74924,Random
76056,Random
258,Center
56618,Near-full
64217,Near-full
86978,Scratch
84464,Scratch
77873,Random
857,Center
53422,Loc
56378,Near-full
49296,Loc
52172,Loc
90749,Scratch
81274,Scratch
94166,Scratch
54040,Near-full
27236,Edge-Ring
92296,Scratch
1539,Center
93234,Scratch
7288,Center
51646,Loc
74633,Random
40277,Edge-Ring
54103,Near-full
14812,Edge-Loc
26936,Edge-Loc
89795,Scratch
11040,Center
66287,Near-full
23164,Edge-Loc
82823,Scratch
19038,Edge-Loc
51465,Loc
84973,Scratch
64692,Near-full
40977,Loc
36093,Edge-Ring
89822,Scratch
78282,Random
5365,Center
2824,Center
45824,Loc
49422,Loc
34741,Edge-Ring
14804,Edge-Loc
16218,Edge-Loc
62010,Near-full
49252,Loc
59380,Near-full
42438,Loc
83793,Scratch
12540,Center
93416,Scratch
46417,Loc
60130,Near-full
50643,Loc
38451,Edge-Ring
87189,Scratch
23808,Edge-Loc
49612,Loc
81351,Scratch
14088,Edge-Loc
74746,Random
40213,Edge-Ring
45585,Loc
50992,Loc
93356,Scratch
30623,Edge-Ring
19681,Edge-Loc
93431,Scratch
18035,Edge-Loc
51280,Loc
59515,Near-full
79270,Random
85871,Scratch
73757,Random
34228,Edge-Ring
86116,Scratch
86670,Scratch
76241,Random
28138,Edge-Ring
65840,Near-full
62006,Near-full
22147,Edge-Loc
83099,Scratch
39834,Edge-Ring
81419,Scratch
19338,Edge-Loc
57469,Near-full
39278,Edge-Ring
44570,Loc
75997,Random
92659,Scratch
44122,Loc
23914,Edge-Loc
37701,Edge-Ring
58595,Near-full
62983,Near-full
9190,Center
9820,Center
79872,Random
35262,Edge-Ring
45334,Loc
10123,Center
93128,Scratch
75204,Random
748,Center
28085,Edge-Ring
62184,Near-full
11886,Center
19416,Edge-Loc
51687,Loc
82207,Scratch
59499,Near-full
11876,Center
37842,Edge-Ring
18904,Edge-Loc
56261,Near-full
31852,Edge-Ring
91366,Scratch
55214,Near-full
91000,Scratch
13693,Edge-Loc
75759,Random
18171,Edge-Loc
44423,Loc
26683,Edge-Loc
62266,Near-full
73369,Random
29029,Edge-Ring
15599,Edge-Loc
877,Center
47805,Loc
60090,Near-full
50903,Loc
42926,Loc
34405,Edge-Ring
5083,Center
68840,Random
85198,Scratch
3038,Center
74952,Random
79011,Random
43226,Loc
85828,Scratch
61694,Near-full
83918,Scratch
5347,Center
64918,Near-full
17346,Edge-Loc
68295,Random
61236,Near-full
77135,Random
93046,Scratch
21324,Edge-Loc
24828,Edge-Loc
51351,Loc
81504,Scratch
89644,Scratch
55789,Near-full
2630,Center
3278,Center
90808,Scratch
71160,Random
35567,Edge-Ring
80485,Random
85070,Scratch
20183,Edge-Loc
66370,Near-full
23574,Edge-Loc
25260,Edge-Loc
7310,Center
4834,Center
29307,Edge-Ring
85764,Scratch
18361,Edge-Loc
10480,Center
36284,Edge-Ring
9015,Center
89658,Scratch
33038,Edge-Ring
51377,Loc
91070,Scratch
21877,Edge-Loc
5183,Center
14951,Edge-Loc
70072,Random
49390,Loc
29326,Edge-Ring
88638,Scratch
61747,Near-full
59992,Near-full
22520,Edge-Loc
53262,Loc
64825,Near-full
2082,Center
44827,Loc
92194,Scratch
74077,Random
69013,Random
8570,Center
58630,Near-full
53636,Loc
35505,Edge-Ring
68124,Random
44097,Loc
77419,Random
39226,Edge-Ring
75508,Random
11486,Center
49109,Loc
22642,Edge-Loc
70290,Random
22780,Edge-Loc
94028,Scratch
33018,Edge-Ring
57139,Near-full
7425,Center
61668,Near-full
28645,Edge-Ring
27352,Edge-Ring
13487,Edge-Loc
6199,Center
72586,Random
40363,Edge-Ring
8663,Center
64261,Near-full
11864,Center
3396,Center
7725,Center
75902,Random
34549,Edge-Ring
9133,Center
69003,Random
13172,Center
69843,Random
72289,Random
12714,Center
64083,Near-full
44530,Loc
33317,Edge-Ring
77035,Random
60619,Near-full
15163,Edge-Loc
85889,Scratch
89056,Scratch
78767,Random
56768,Near-full
35720,Edge-Ring
36260,Edge-Ring
28517,Edge-Ring
69204,Random
73921,Random
61335,Near-full
68552,Random
70734,Random
51896,Loc
68901,Random
34185,Edge-Ring
80538,Random
34956,Edge-Ring
62670,Near-full
23926,Edge-Loc
52912,Loc
93775,Scratch
3297,Center
63105,Near-full
85322,Scratch
44857,Loc
26218,Edge-Loc
36421,Edge-Ring
42897,Loc
18690,Edge-Loc
23285,Edge-Loc
74468,Random
49355,Loc
4160,Center
55663,Near-full
76925,Random
31336,Edge-Ring
69124,Random
40565,Loc
17530,Edge-Loc
72383,Random
56588,Near-full
28518,Edge-Ring
68224,Random
73472,Random
68816,Random
8927,Center
53417,Loc
85519,Scratch
2919,Center
66869,Near-full
11904,Center
74145,Random
27130,Edge-Ring
62445,Near-full
41624,Loc
68869,Random
60459,Near-full
86950,Scratch
90879,Scratch
9047,Center
9672,Center
35868,Edge-Ring
56827,Near-full
44622,Loc
77833,Random
73958,Random
88291,Scratch
55081,Near-full
9888,Center
62955,Near-full
46491,Loc
21273,Edge-Loc
45501,Loc
7234,Center
62695,Near-full
7706,Center
71942,Random
63259,Near-full
80706,Random
22840,Edge-Loc
52779,Loc
2067,Center
2708,Center
29439,Edge-Ring
89943,Scratch
90539,Scratch
77171,Random
89650,Scratch
41414,Loc
57884,Near-full
89769,Scratch
98,Center
45099,Loc
13397,Center
19935,Edge-Loc
73983,Random
87827,Scratch
59688,Near-full
94326,Scratch
53584,Loc
14261,Edge-Loc
5943,Center
78644,Random
10979,Center
85557,Scratch
35769,Edge-Ring
50674,Loc
58641,Near-full
94289,Scratch
288,Center
68844,Random
74540,Random
40024,Edge-Ring
68989,Random
57790,Near-full
43712,Loc
58776,Near-full
75669,Random
18756,Edge-Loc
10968,Center
92199,Scratch
5299,Center
57446,Near-full
38146,Edge-Ring
57017,Near-full
54761,Near-full
12426,Center
86808,Scratch
45146,Loc
94135,Scratch
79121,Random
83224,Scratch
55948,Near-full
36640,Edge-Ring
90256,Scratch
72980,Random
83878,Scratch
78559,Random
58750,Near-full
60842,Near-full
53274,Loc
24893,Edge-Loc
79043,Random
6657,Center
55000,Near-full
74685,Random
35922,Edge-Ring
54664,Near-full
31948,Edge-Ring
46289,Loc
1449,Center
66896,Near-full
85291,Scratch
73340,Random
85844,Scratch
78535,Random
90985,Scratch
73054,Random
77194,Random
40948,Loc
46662,Loc
77305,Random
64058,Near-full
85056,Scratch
87021,Scratch
12652,Center
62400,Near-full
82019,Scratch
71716,Random
64971,Near-full
93472,Scratch
80854,Random
37721,Edge-Ring
70280,Random
75149,Random
84224,Scratch
74807,Random
83199,Scratch
89262,Scratch
70518,Random
11612,Center
15307,Edge-Loc
40924,Loc
57868,Near-full
13538,Edge-Loc
15235,Edge-Loc
25319,Edge-Loc
15066,Edge-Loc
92240,Scratch
24762,Edge-Loc
1263,Center
84746,Scratch
4432,Center
72147,Random
54755,Near-full
94176,Scratch
19201,Edge-Loc
85509,Scratch
40710,Loc
31839,Edge-Ring
50894,Loc
77057,Random
32813,Edge-Ring
80792,Random
69215,Random
73819,Random
10578,Center
69703,Random
88641,Scratch
93601,Scratch
85297,Scratch
28373,Edge-Ring
72808,Random
28184,Edge-Ring
84007,Scratch
33389,Edge-Ring
32525,Edge-Ring
55810,Near-full
39230,Edge-Ring
25931,Edge-Loc
25716,Edge-Loc
27796,Edge-Ring
34902,Edge-Ring
23444,Edge-Loc
27514,Edge-Ring
15082,Edge-Loc
65296,Near-full
51429,Loc
5730,Center
92287,Scratch
39164,Edge-Ring
85371,Scratch
34700,Edge-Ring
69511,Random
49583,Loc
26713,Edge-Loc
64121,Near-full
11390,Center
6041,Center
25785,Edge-Loc
21155,Edge-Loc
47453,Loc
44751,Loc
53700,Loc
73168,Random
76033,Random
64488,Near-full
44478,Loc
35575,Edge-Ring
23741,Edge-Loc
6837,Center
93256,Scratch
53966,Near-full
54899,Near-full
85860,Scratch
60540,Near-full
25055,Edge-Loc
58290,Near-full
65467,Near-full
20073,Edge-Loc
67289,Near-full
63282,Near-full
10678,Center
80904,Random
75755,Random
9967,Center
6459,Center
36513,Edge-Ring
38599,Edge-Ring
39621,Edge-Ring
14424,Edge-Loc
6841,Center
22702,Edge-Loc
10060,Center
65318,Near-full
46753,Loc
9601,Center
93364,Scratch
77426,Random
4520,Center
4362,Center
42781,Loc
15663,Edge-Loc
37573,Edge-Ring
15548,Edge-Loc
72425,Random
72072,Random
35612,Edge-Ring
81885,Scratch
80797,Random
71281,Random
32250,Edge-Ring
23682,Edge-Loc
74603,Random
80368,Random
25221,Edge-Loc
35649,Edge-Ring
64467,Near-full
43257,Loc
4289,Center
22789,Edge-Loc
79687,Random
89354,Scratch
36358,Edge-Ring
68185,Random
76970,Random
38677,Edge-Ring
80293,Random
16564,Edge-Loc
36617,Edge-Ring
72902,Random
28007,Edge-Ring
25765,Edge-Loc
7799,Center
82135,Scratch
41572,Loc
48075,Loc
85984,Scratch
21009,Edge-Loc
39761,Edge-Ring
53694,Loc
48258,Loc
62345,Near-full
31725,Edge-Ring
20936,Edge-Loc
66025,Near-full
39513,Edge-Ring
26912,Edge-Loc
52091,Loc
74800,Random
25323,Edge-Loc
11815,Center
65336,Near-full
61785,Near-full
52657,Loc
51434,Loc
84131,Scratch
68264,Random
87574,Scratch
74519,Random
20836,Edge-Loc
35248,Edge-Ring
61221,Near-full
70343,Random
12407,Center
70306,Random
50702,Loc
45781,Loc
20906,Edge-Loc
55808,Near-full
89348,Scratch
15913,Edge-Loc
71120,Random
45362,Loc
30779,Edge-Ring
9760,Center
80431,Random
72973,Random
85283,Scratch
4799,Center
56509,Near-full
61852,Near-full
16808,Edge-Loc
50150,Loc
84863,Scratch
31983,Edge-Ring
34803,Edge-Ring
3569,Center
49173,Loc
60463,Near-full
68189,Random
75155,Random
93466,Scratch
18566,Edge-Loc
50405,Loc
85424,Scratch
23206,Edge-Loc
46590,Loc
26886,Edge-Loc
28049,Edge-Ring
88000,Scratch
65969,Near-full
68170,Random
33235,Edge-Ring
29446,Edge-Ring
48567,Loc
89079,Scratch
67640,Random
74464,Random
61500,Near-full
86037,Scratch
62660,Near-full
41918,Loc
52960,Loc
17537,Edge-Loc
35746,Edge-Ring
62800,Near-full
53031,Loc
22689,Edge-Loc
90577,Scratch
20689,Edge-Loc
79552,Random
36432,Edge-Ring
38758,Edge-Ring
29534,Edge-Ring
84905,Scratch
70959,Random
40368,Edge-Ring
3917,Center
45039,Loc
75004,Random
16413,Edge-Loc
45408,Loc
44817,Loc
53635,Loc
2715,Center
75923,Random
83668,Scratch
4851,Center
2493,Center
83596,Scratch
34121,Edge-Ring
86101,Scratch
91585,Scratch
63126,Near-full
52526,Loc
87534,Scratch
61591,Near-full
45496,Loc
32275,Edge-Ring
14501,Edge-Loc
45091,Loc
42660,Loc
61605,Near-full
20008,Edge-Loc
70965,Random
90923,Scratch
27971,Edge-Ring
36419,Edge-Ring
31730,Edge-Ring
87211,Scratch
67507,Random
54891,Near-full
3961,Center
40466,Loc
50659,Loc
91648,Scratch
27223,Edge-Ring
14954,Edge-Loc
93501,Scratch
76637,Random
75689,Random
89488,Scratch
9178,Center
14279,Edge-Loc
45262,Loc
57579,Near-full
89163,Scratch
59273,Near-full
59930,Near-full
2042,Center
83649,Scratch
35793,Edge-Ring
64280,Near-full
73637,Random
9877,Center
5326,Center
69849,Random
55077,Near-full
3077,Center
74085,Random
31149,Edge-Ring
89176,Scratch
54631,Near-full
2434,Center
52911,Loc
36991,Edge-Ring
35887,Edge-Ring
48672,Loc
71213,Random
26735,Edge-Loc
17724,Edge-Loc
40536,Loc
71249,Random
23275,Edge-Loc
5959,Center
4723,Center
42096,Loc
39452,Edge-Ring
77861,Random
5215,Center
33730,Edge-Ring
17772,Edge-Loc
16889,Edge-Loc
86505,Scratch
81056,Scratch
66976,Near-full
21685,Edge-Loc
82228,Scratch
58357,Near-full
19195,Edge-Loc
35102,Edge-Ring
70455,Random
13308,Center
15008,Edge-Loc
5828,Center
81270,Scratch
76016,Random
48711,Loc
80112,Random
67600,Random
3216,Center
31446,Edge-Ring
78195,Random
45435,Loc
29622,Edge-Ring
34294,Edge-Ring
62477,Near-full
58015,Near-full
34476,Edge-Ring
52338,Loc
75278,Random
40801,Loc
41294,Loc
75881,Random
20857,Edge-Loc
35816,Edge-Ring
91799,Scratch
42367,Loc
72748,Random
18906,Edge-Loc
72443,Random
59541,Near-full
54274,Near-full
68376,Random
60477,Near-full
6766,Center
15419,Edge-Loc
21958,Edge-Loc
36720,Edge-Ring
3288,Center
23751,Edge-Loc
4186,Center
841,Center
17353,Edge-Loc
75967,Random
22916,Edge-Loc
68424,Random
27404,Edge-Ring
61402,Near-full
46337,Loc
26730,Edge-Loc
15859,Edge-Loc
79393,Random
31429,Edge-Ring
38030,Edge-Ring
38009,Edge-Ring
93843,Scratch
58365,Near-full
61115,Near-full
37114,Edge-Ring
20343,Edge-Loc
28303,Edge-Ring
71448,Random
31286,Edge-Ring
17880,Edge-Loc
67575,Random
76943,Random
20220,Edge-Loc
38050,Edge-Ring
18580,Edge-Loc
59157,Near-full
28715,Edge-Ring
11848,Center
89709,Scratch
10430,Center
30292,Edge-Ring
26479,Edge-Loc
71708,Random
21651,Edge-Loc
10920,Center
70080,Random
40542,Loc
55412,Near-full
15953,Edge-Loc
37731,Edge-Ring
53165,Loc
57862,Near-full
74926,Random
39880,Edge-Ring
38753,Edge-Ring
12546,Center
41358,Loc
85988,Scratch
63517,Near-full
26559,Edge-Loc
41462,Loc
59308,Near-full
64039,Near-full
56943,Near-full
52384,Loc
27633,Edge-Ring
93137,Scratch
91231,Scratch
34176,Edge-Ring
68835,Random
15045,Edge-Loc
24456,Edge-Loc
84757,Scratch
65563,Near-full
43523,Loc
81815,Scratch
65849,Near-full
86021,Scratch
40739,Loc
22116,Edge-Loc
93183,Scratch
51346,Loc
2891,Center
84354,Scratch
75223,Random
6677,Center
20208,Edge-Loc
5627,Center
13113,Center
18886,Edge-Loc
53653,Loc
76332,Random
19109,Edge-Loc
7044,Center
23339,Edge-Loc
885,Center
58395,Near-full
18858,Edge-Loc
71536,Random
75685,Random
70851,Random
50976,Loc
45029,Loc
22821,Edge-Loc
2846,Center
24629,Edge-Loc
32023,Edge-Ring
8397,Center
68007,Random
18964,Edge-Loc
34877,Edge-Ring
69134,Random
35964,Edge-Ring
34143,Edge-Ring
37061,Edge-Ring
26896,Edge-Loc
17658,Edge-Loc
4905,Center
10699,Center
92819,Scratch
25131,Edge-Loc
66117,Near-full
38128,Edge-Ring
7882,Center
87830,Scratch
26591,Edge-Loc
82915,Scratch
44794,Loc
28216,Edge-Ring
43775,Loc
47539,Loc
13571,Edge-Loc
38793,Edge-Ring
60272,Near-full
59999,Near-full
79765,Random
61813,Near-full
88780,Scratch
35396,Edge-Ring
55430,Near-full
21357,Edge-Loc
32640,Edge-Ring
77132,Random
11198,Center
90769,Scratch
40382,Edge-Ring
1609,Center
26417,Edge-Loc
28398,Edge-Ring
24573,Edge-Loc
50087,Loc
23845,Edge-Loc
39824,Edge-Ring
92528,Scratch
66876,Near-full
11542,Center
39570,Edge-Ring
80382,Random
28975,Edge-Ring
28381,Edge-Ring
62837,Near-full
57814,Near-full
46598,Loc
21679,Edge-Loc
6330,Center
30626,Edge-Ring
36670,Edge-Ring
90033,Scratch
54749,Near-full
1769,Center
60996,Near-full
48323,Loc
